INDEX,temp,pressure,humidity,dew_point,clouds,visibility,wind_speed,rainfall_1hr
373729,6.1,1023.0,95.0,5.36,75.0,10000.0,2.6,
13886,11.74,1020.0,39.0,-1.54,0.0,10000.0,2.6,
189962,-8.27,1039.0,69.0,-12.44,100.0,10000.0,5.1,
174510,5.2,1022.0,76.0,1.32,75.0,10000.0,4.1,
4013725,24.96,1016.0,69.0,18.88,75.0,10000.0,1.5,
2333716,25.66,1023.0,64.0,18.34,40.0,10000.0,2.1,2.53
2648485,19.25,1022.0,52.0,9.16,40.0,10000.0,5.1,
3818528,31.91,1018.0,59.0,22.9,40.0,10000.0,0.0,
3472112,25.08,1017.0,64.0,17.8,0.0,10000.0,2.6,
4563300,13.25,1019.0,49.0,2.78,20.0,10000.0,6.2,
937262,-5.27,1021.0,71.0,-9.21,100.0,6437.0,3.6,
3946858,31.58,1017.0,48.0,19.24,100.0,10000.0,0.0,
1711618,11.57,1012.0,86.0,9.31,100.0,10000.0,8.2,0.8
4716959,-0.62,1015.0,88.0,-2.16,100.0,10000.0,10.3,
1108917,7.91,1025.0,87.0,5.88,100.0,10000.0,7.2,
4985587,7.59,1020.0,88.0,5.73,0.0,10000.0,2.1,
4997348,7.41,1013.0,92.0,6.2,20.0,6437.0,3.1,
3990480,21.39,1017.0,81.0,18.0,40.0,10000.0,0.0,1.59
2393935,11.79,1025.0,66.0,5.65,75.0,10000.0,4.1,
146078,1.43,1034.0,41.0,-9.24,100.0,10000.0,4.1,
496405,-8.89,1025.0,64.0,-13.86,20.0,10000.0,3.1,
1940598,20.78,1010.0,72.0,15.55,100.0,10000.0,5.7,1.2
742853,-14.59,1018.0,48.0,-22.33,75.0,10000.0,9.8,
2684123,33.14,1019.0,61.0,24.6,40.0,10000.0,5.1,
2719549,24.16,1008.0,64.0,16.93,75.0,10000.0,5.7,
1692853,25.5,1008.0,59.0,16.9,75.0,10000.0,3.6,
3905464,31.09,1009.0,19.0,4.77,40.0,10000.0,3.6,
1677960,25.65,1013.0,78.0,21.53,100.0,10000.0,6.7,0.18
3375967,20.2,1015.0,84.0,17.41,40.0,10000.0,3.6,
5221933,20.2,1017.0,92.0,18.86,100.0,805.0,4.6,13.2
5267968,23.97,1001.0,79.0,20.1,75.0,10000.0,10.3,1.58
5215940,20.04,1013.0,89.0,18.17,75.0,10000.0,7.7,0.84
2185867,8.35,1023.0,65.0,2.16,100.0,10000.0,6.2,
5043710,10.66,1022.0,92.0,9.42,75.0,10000.0,3.1,
1777498,20.33,1011.0,93.0,19.16,100.0,10000.0,5.7,
2787991,30.58,1020.0,64.0,22.99,100.0,3219.0,10.8,9.1
5304349,-0.82,1023.0,81.0,-3.34,100.0,10000.0,3.1,
2512619,24.7,1006.0,59.0,16.16,40.0,10000.0,7.7,
1255707,-0.29,1024.0,63.0,-5.77,100.0,10000.0,4.6,
4726815,-2.19,1021.0,62.0,-7.78,20.0,10000.0,3.6,
891103,-21.5,1039.0,77.0,-24.16,20.0,10000.0,0.0,
3543836,19.85,1014.0,65.0,13.09,75.0,10000.0,7.2,
2560240,23.42,1015.0,87.0,21.13,0.0,8047.0,2.6,
23378,-1.11,1023.0,89.0,-2.51,100.0,2816.0,4.1,
4340154,19.53,1023.0,83.0,16.57,100.0,10000.0,3.6,
4810798,12.09,1021.0,100.0,12.09,100.0,2414.0,3.1,
655785,11.5,1026.0,71.0,6.43,100.0,10000.0,3.1,
3591208,37.16,1015.0,36.0,19.6,40.0,10000.0,2.6,
4217821,20.56,1016.0,65.0,13.76,40.0,10000.0,6.2,
2847798,29.61,1018.0,64.0,22.08,75.0,10000.0,4.6,
4446864,13.39,1005.0,40.0,0.08,20.0,10000.0,5.1,
689384,-15.06,1034.0,65.0,-19.64,75.0,10000.0,5.7,
3126661,19.1,1012.0,79.0,15.38,75.0,10000.0,2.1,
5311840,17.64,1021.0,93.0,16.49,100.0,2414.0,5.1,7.8
292688,1.25,1012.0,56.0,-5.81,100.0,10000.0,5.7,
2366903,30.58,1016.0,59.0,21.66,75.0,10000.0,2.1,0.14
3748205,14.92,1018.0,84.0,12.24,40.0,10000.0,3.1,
4057205,27.01,1014.0,58.0,18.05,75.0,10000.0,0.0,
